key,value,date
0,1,09/01/14
0,73,11/01/14
0,62,12/01/14
0,311,01/01/15
0,377,02/01/15
0,411,03/01/15
0,442,04/01/15
0,433,05/01/15
0,628,06/01/15
0,385,07/01/15
0,179,08/01/15
0,62,09/01/15
0,196,10/01/15
0,145,11/01/15
0,637,12/01/15
0,404,01/01/16
0,723,02/01/16
0,500,03/01/16
0,97,04/01/16
0,241,05/01/16
0,163,06/01/16
0,1327,07/01/16
0,2498,08/01/16
0,4851,09/01/16
0,5228,10/01/16
0,4176,11/01/16
0,3962,12/01/16
0,4233,01/01/17
0,2053,02/01/17
0,1728,03/01/17
0,855,04/01/17
0,108,05/01/17
0,93,06/01/17
0,783,07/01/17
0,216,08/01/17
0,2,09/01/17
1,3,07/01/14
1,45,11/01/14
1,38,12/01/14
1,168,01/01/15
1,168,02/01/15
1,238,03/01/15
1,196,04/01/15
1,177,05/01/15
1,377,06/01/15
1,272,07/01/15
1,223,08/01/15
1,37,09/01/15
1,110,10/01/15
1,93,11/01/15
1,528,12/01/15
1,217,01/01/16
1,739,02/01/16
1,404,03/01/16
1,48,04/01/16
1,336,05/01/16
1,126,06/01/16
1,649,07/01/16
1,1069,08/01/16
1,2900,09/01/16
1,2688,10/01/16
1,2455,11/01/16
1,1976,12/01/16
1,2166,01/01/17
1,1033,02/01/17
1,761,03/01/17
1,354,04/01/17
1,44,05/01/17
1,15,06/01/17
1,231,07/01/17
1,76,08/01/17
1,1,09/01/17
2,36,11/01/14
2,35,12/01/14
2,220,01/01/15
2,169,02/01/15
2,221,03/01/15
2,208,04/01/15
2,153,05/01/15
2,265,06/01/15
2,141,07/01/15
2,82,08/01/15
2,33,09/01/15
2,84,10/01/15
2,70,11/01/15
2,253,12/01/15
2,133,01/01/16
2,272,02/01/16
2,188,03/01/16
2,45,04/01/16
2,283,05/01/16
2,88,06/01/16
2,388,07/01/16
2,759,08/01/16
2,2158,09/01/16
2,2836,10/01/16
2,1679,11/01/16
2,1881,12/01/16
2,1804,01/01/17
2,1052,02/01/17
2,661,03/01/17
2,405,04/01/17
2,59,05/01/17
2,15,06/01/17
2,291,07/01/17
2,114,08/01/17
3,1,07/01/14
3,27,11/01/14
3,30,12/01/14
3,132,01/01/15
3,133,02/01/15
3,115,03/01/15
3,175,04/01/15
3,149,05/01/15
3,391,06/01/15
3,150,07/01/15
3,71,08/01/15
3,17,09/01/15
3,114,10/01/15
3,125,11/01/15
3,470,12/01/15
3,178,01/01/16
3,387,02/01/16
3,229,03/01/16
3,42,04/01/16
3,128,05/01/16
3,67,06/01/16
3,675,07/01/16
3,1150,08/01/16
3,2844,09/01/16
3,3232,10/01/16
3,1969,11/01/16
3,1363,12/01/16
3,1360,01/01/17
3,778,02/01/17
3,610,03/01/17
3,270,04/01/17
3,37,05/01/17
3,30,06/01/17
3,209,07/01/17
3,91,08/01/17
4,17,11/01/14
4,12,12/01/14
4,59,01/01/15
4,76,02/01/15
4,96,03/01/15
4,100,04/01/15
4,89,05/01/15
4,258,06/01/15
4,69,07/01/15
4,93,08/01/15
4,20,09/01/15
4,67,10/01/15
4,76,11/01/15
4,241,12/01/15
4,100,01/01/16
4,273,02/01/16
4,297,03/01/16
4,23,04/01/16
4,79,05/01/16
4,87,06/01/16
4,623,07/01/16
4,1026,08/01/16
4,2479,09/01/16
4,2163,10/01/16
4,1355,11/01/16
4,1127,12/01/16
4,1213,01/01/17
4,631,02/01/17
4,498,03/01/17
4,277,04/01/17
4,40,05/01/17
4,5,06/01/17
4,162,07/01/17
4,59,08/01/17
4,2,09/01/17
5,16,11/01/14
5,22,12/01/14
5,108,01/01/15
5,115,02/01/15
5,114,03/01/15
5,127,04/01/15
5,110,05/01/15
5,231,06/01/15
5,87,07/01/15
5,46,08/01/15
5,38,09/01/15
5,50,10/01/15
5,52,11/01/15
5,139,12/01/15
5,95,01/01/16
5,238,02/01/16
5,125,03/01/16
5,15,04/01/16
5,103,05/01/16
5,62,06/01/16
5,310,07/01/16
5,656,08/01/16
5,1320,09/01/16
5,1412,10/01/16
5,1550,11/01/16
5,1493,12/01/16
5,1340,01/01/17
5,563,02/01/17
5,459,03/01/17
5,271,04/01/17
5,38,05/01/17
5,8,06/01/17
5,196,07/01/17
5,78,08/01/17
6,2,07/01/14
6,1,08/01/14
6,39,11/01/14
6,33,12/01/14
6,159,01/01/15
6,154,02/01/15
6,146,03/01/15
6,102,04/01/15
6,74,05/01/15
6,166,06/01/15
6,56,07/01/15
6,51,08/01/15
6,16,09/01/15
6,53,10/01/15
6,34,11/01/15
6,155,12/01/15
6,64,01/01/16
6,588,02/01/16
6,236,03/01/16
6,19,04/01/16
6,122,05/01/16
6,58,06/01/16
6,196,07/01/16
6,686,08/01/16
6,1121,09/01/16
6,1004,10/01/16
6,793,11/01/16
6,955,12/01/16
6,1237,01/01/17
6,543,02/01/17
6,466,03/01/17
6,307,04/01/17
6,50,05/01/17
6,36,06/01/17
6,327,07/01/17
6,82,08/01/17
7,1,07/01/14
7,20,11/01/14
7,41,12/01/14
7,170,01/01/15
7,155,02/01/15
7,166,03/01/15
7,178,04/01/15
7,157,05/01/15
7,247,06/01/15
7,129,07/01/15
7,56,08/01/15
7,22,09/01/15
7,84,10/01/15
7,67,11/01/15
7,342,12/01/15
7,117,01/01/16
7,780,02/01/16
7,321,03/01/16
7,18,04/01/16
7,167,05/01/16
7,84,06/01/16
7,384,07/01/16
7,385,08/01/16
7,1005,09/01/16
7,1141,10/01/16
7,917,11/01/16
7,910,12/01/16
7,994,01/01/17
7,466,02/01/17
7,381,03/01/17
7,217,04/01/17
7,33,05/01/17
7,9,06/01/17
7,144,07/01/17
7,62,08/01/17
8,1,07/01/14
8,14,11/01/14
8,20,12/01/14
8,96,01/01/15
8,110,02/01/15
8,113,03/01/15
8,96,04/01/15
8,84,05/01/15
8,163,06/01/15
8,60,07/01/15
8,40,08/01/15
8,12,09/01/15
8,48,10/01/15
8,36,11/01/15
8,160,12/01/15
8,80,01/01/16
8,156,02/01/16
8,104,03/01/16
8,19,04/01/16
8,70,05/01/16
8,36,06/01/16
8,164,07/01/16
8,616,08/01/16
8,1280,09/01/16
8,2210,10/01/16
8,977,11/01/16
8,865,12/01/16
8,850,01/01/17
8,368,02/01/17
8,380,03/01/17
8,166,04/01/17
8,24,05/01/17
8,8,06/01/17
8,159,07/01/17
8,111,08/01/17
8,1,09/01/17
9,3,07/01/14
9,19,11/01/14
9,27,12/01/14
9,95,01/01/15
9,96,02/01/15
9,106,03/01/15
9,115,04/01/15
9,81,05/01/15
9,100,06/01/15
9,41,07/01/15
9,21,08/01/15
9,13,09/01/15
9,49,10/01/15
9,48,11/01/15
9,172,12/01/15
9,30,01/01/16
9,129,02/01/16
9,90,03/01/16
9,15,04/01/16
9,61,05/01/16
9,45,06/01/16
9,1431,07/01/16
9,510,08/01/16
9,681,09/01/16
9,797,10/01/16
9,928,11/01/16
9,1310,12/01/16
9,928,01/01/17
9,392,02/01/17
9,410,03/01/17
9,334,04/01/17
9,60,05/01/17
9,295,06/01/17
9,696,07/01/17
9,184,08/01/17
9,29,09/01/17
10,4,11/01/14
10,7,12/01/14
10,58,01/01/15
10,68,02/01/15
10,55,03/01/15
10,104,04/01/15
10,98,05/01/15
10,212,06/01/15
10,112,07/01/15
10,49,08/01/15
10,8,09/01/15
10,36,10/01/15
10,20,11/01/15
10,132,12/01/15
10,65,01/01/16
10,144,02/01/16
10,102,03/01/16
10,17,04/01/16
10,58,05/01/16
10,60,06/01/16
10,333,07/01/16
10,614,08/01/16
10,1549,09/01/16
10,1657,10/01/16
10,1112,11/01/16
10,824,12/01/16
10,1130,01/01/17
10,550,02/01/17
10,370,03/01/17
10,139,04/01/17
10,17,05/01/17
10,2,06/01/17
10,118,07/01/17
10,36,08/01/17
11,1,07/01/14
11,23,11/01/14
11,24,12/01/14
11,157,01/01/15
11,140,02/01/15
11,167,03/01/15
11,92,04/01/15
11,71,05/01/15
11,88,06/01/15
11,48,07/01/15
11,35,08/01/15
11,18,09/01/15
11,43,10/01/15
11,33,11/01/15
11,146,12/01/15
11,74,01/01/16
11,147,02/01/16
11,119,03/01/16
11,23,04/01/16
11,60,05/01/16
11,46,06/01/16
11,290,07/01/16
11,539,08/01/16
11,1270,09/01/16
11,1080,10/01/16
11,1013,11/01/16
11,1098,12/01/16
11,802,01/01/17
11,472,02/01/17
11,351,03/01/17
11,280,04/01/17
11,48,05/01/17
11,16,06/01/17
11,123,07/01/17
11,58,08/01/17
11,1,09/01/17
12,11,11/01/14
12,14,12/01/14
12,123,01/01/15
12,98,02/01/15
12,110,03/01/15
12,86,04/01/15
12,66,05/01/15
12,116,06/01/15
12,35,07/01/15
12,20,08/01/15
12,12,09/01/15
12,29,10/01/15
12,101,11/01/15
12,111,12/01/15
12,46,01/01/16
12,88,02/01/16
12,141,03/01/16
12,19,04/01/16
12,58,05/01/16
12,29,06/01/16
12,150,07/01/16
12,472,08/01/16
12,778,09/01/16
12,977,10/01/16
12,976,11/01/16
12,701,12/01/16
12,1427,01/01/17
12,520,02/01/17
12,484,03/01/17
12,332,04/01/17
12,25,05/01/17
12,116,06/01/17
12,174,07/01/17
12,133,08/01/17
13,18,11/01/14
13,29,12/01/14
13,141,01/01/15
13,98,02/01/15
13,115,03/01/15
13,123,04/01/15
13,95,05/01/15
13,265,06/01/15
13,79,07/01/15
13,27,08/01/15
13,6,09/01/15
13,66,10/01/15
13,34,11/01/15
13,210,12/01/15
13,77,01/01/16
13,149,02/01/16
13,130,03/01/16
13,16,04/01/16
13,86,05/01/16
13,47,06/01/16
13,202,07/01/16
13,312,08/01/16
13,604,09/01/16
13,693,10/01/16
13,762,11/01/16
13,723,12/01/16
13,761,01/01/17
13,363,02/01/17
13,342,03/01/17
13,247,04/01/17
13,31,05/01/17
13,40,06/01/17
13,200,07/01/17
13,60,08/01/17
13,1,09/01/17
14,11,11/01/14
14,29,12/01/14
14,135,01/01/15
14,74,02/01/15
14,117,03/01/15
14,78,04/01/15
14,52,05/01/15
14,97,06/01/15
14,31,07/01/15
14,23,08/01/15
14,11,09/01/15
14,40,10/01/15
14,32,11/01/15
14,241,12/01/15
14,67,01/01/16
14,363,02/01/16
14,790,03/01/16
14,21,04/01/16
14,83,05/01/16
14,48,06/01/16
14,126,07/01/16
14,294,08/01/16
14,677,09/01/16
14,772,10/01/16
14,1064,11/01/16
14,734,12/01/16
14,763,01/01/17
14,342,02/01/17
14,255,03/01/17
14,121,04/01/17
14,22,05/01/17
14,107,07/01/17
14,39,08/01/17
